ID_Pedido;Unidades;Precio Unitario;Total Venta;Línea de Producto;Código de Producto;País;Territorio
8;31;100;4305,28;Classic Cars;S10_4962;France;EMEA
4;22;100;3347,74;Classic Cars;S10_4962;Spain;EMEA
4;26;100;3188,12;Classic Cars;S10_4962;USA;NA
1;20;100;3191,2;Classic Cars;S10_4962;Singapore;Japan
2;21;100;3536,82;Classic Cars;S10_4962;Austria;EMEA
9;33;100;5362,83;Classic Cars;S10_4962;UK;EMEA
1;28;100;3433,36;Classic Cars;S10_4962;USA;NA
4;26;100;4263,74;Classic Cars;S10_4962;France;EMEA
15;31;100;4076,19;Classic Cars;S10_4962;USA;NA
4;48;100;7020,48;Classic Cars;S10_4962;Singapore;APAC
9;50;100;6426,5;Classic Cars;S10_4962;USA;NA
2;28;100;4591,72;Classic Cars;S10_4962;USA;NA
12;26;100;4033,38;Classic Cars;S10_4962;Singapore;APAC
2;32;100;4302,08;Classic Cars;S10_4962;Australia;APAC
9;44;100;7020,64;Classic Cars;S10_4962;USA;NA
4;30;100;3855,9;Classic Cars;S10_4962;Sweden;EMEA
13;38;100;6680,78;Classic Cars;S10_4962;USA;NA
7;40;100;6678;Classic Cars;S10_4962;Canada;NA
8;46;61,99;2851,54;Classic Cars;S10_4962;USA;NA
2;26;100;3188,12;Classic Cars;S10_4962;Sweden;EMEA
2;27;100;4428;Classic Cars;S10_4962;Australia;APAC
9;43;100;5780,92;Classic Cars;S10_4962;USA;NA
4;35;65,63;2297,05;Classic Cars;S10_4962;Australia;APAC
6;37;100;6231,54;Classic Cars;S10_4962;USA;NA
7;74;46,9;3470,6;Classic Cars;S10_4962;Australia;APAC
2;54;100;8855,46;Classic Cars;S10_4962;Canada;NA
12;38;100;5894,94;Classic Cars;S10_4962;France;EMEA
6;33;100;5265,15;Classic Cars;S12_1099;Philippines;Japan
10;42;100;7599,9;Classic Cars;S12_1099;France;EMEA
7;42;100;8008,56;Classic Cars;S12_1099;USA;NA
7;48;100;9245,76;Classic Cars;S12_1099;USA;NA
2;41;100;8296,35;Classic Cars;S12_1099;USA;NA
2;30;100;5019,9;Classic Cars;S12_1099;Australia;APAC
14;27;100;5411,07;Classic Cars;S12_1099;Norway;EMEA
3;21;100;3840,9;Classic Cars;S12_1099;Germany;EMEA
8;20;100;3930,4;Classic Cars;S12_1099;Spain;EMEA
2;41;100;7498,9;Classic Cars;S12_1099;France;EMEA
9;27;100;4517,91;Classic Cars;S12_1099;Switzerland;EMEA
3;28;100;5774,72;Classic Cars;S12_1099;Denmark;EMEA
13;24;100;3922,56;Classic Cars;S12_1099;UK;EMEA
14;44;100;9160,36;Classic Cars;S12_1099;Italy;EMEA
3;50;100;9631;Classic Cars;S12_1099;USA;NA
12;21;100;3432,24;Classic Cars;S12_1099;Switzerland;EMEA
5;33;100;5521,89;Classic Cars;S12_1099;Germany;EMEA
10;33;100;6934,62;Classic Cars;S12_1099;Germany;EMEA
3;31;100;6876,11;Classic Cars;S12_1099;Sweden;EMEA
5;41;71,47;2930,27;Classic Cars;S12_1099;USA;NA
2;45;79,65;3584,25;Classic Cars;S12_1099;Austria;EMEA
3;66;85,39;5635,74;Classic Cars;S12_1099;Finland;EMEA
7;90;76;6840;Classic Cars;S12_1099;France;EMEA
4;52;99,04;5150,08;Classic Cars;S12_1099;Sweden;EMEA
13;12;100;1961,28;Classic Cars;S12_1099;Austria;EMEA
15;41;100;8690,36;Classic Cars;S12_1108;Denmark;EMEA
9;33;100;6034,38;Classic Cars;S12_1108;Singapore;Japan
2;46;100;11279,2;Classic Cars;S12_1108;USA;NA
12;33;100;8023,29;Classic Cars;S12_1108;USA;NA
11;20;100;4904;Classic Cars;S12_1108;Spain;EMEA
3;44;100;8594,52;Classic Cars;S12_1108;Singapore;Japan
2;33;100;7474,5;Classic Cars;S12_1108;Italy;EMEA
13;21;100;3883,74;Classic Cars;S12_1108;USA;NA
5;47;100;8887,7;Classic Cars;S12_1108;USA;NA
13;46;100;8602,92;Classic Cars;S12_1108;France;EMEA
2;32;100;7181,44;Classic Cars;S12_1108;Ireland;EMEA
2;42;100;8378,58;Classic Cars;S12_1108;Spain;EMEA
2;44;100;10606,2;Classic Cars;S12_1108;Finland;EMEA
2;35;100;5818,4;Classic Cars;S12_1108;USA;NA
5;41;100;7071,27;Classic Cars;S12_1108;USA;NA
8;46;100;8411,56;Classic Cars;S12_1108;Italy;EMEA
13;31;100;6570,76;Classic Cars;S12_1108;UK;EMEA
5;38;100;7975,44;Classic Cars;S12_1108;Denmark;EMEA
8;42;64;2688;Classic Cars;S12_1108;Norway;EMEA
10;33;57,22;1888,26;Classic Cars;S12_1108;France;EMEA
8;48;52,36;2513,28;Classic Cars;S12_1108;Spain;EMEA
8;42;100;4764,48;Classic Cars;S12_1108;France;EMEA
6;32;100;3560,64;Classic Cars;S12_1108;USA;NA
10;34;100;3823,64;Classic Cars;S12_1108;USA;NA
1;33;69,12;2280,96;Classic Cars;S12_1108;France;EMEA
2;72;100;17355,6;Classic Cars;S12_1108;USA;NA
8;27;100;3394,98;Trucks and Buses;S12_1666;Norway;EMEA
2;21;100;3415,44;Trucks and Buses;S12_1666;USA;NA
8;21;100;2439,57;Trucks and Buses;S12_1666;Spain;EMEA
8;38;100;4829,8;Trucks and Buses;S12_1666;USA;NA
5;30;100;4100,1;Trucks and Buses;S12_1666;Singapore;Japan
6;49;100;6563,06;Trucks and Buses;S12_1666;Austria;EMEA
1;43;100;6817,22;Trucks and Buses;S12_1666;Australia;APAC
5;41;100;6163,94;Trucks and Buses;S12_1666;USA;NA
8;38;100;4933,92;Trucks and Buses;S12_1666;France;EMEA
3;28;100;4056,36;Trucks and Buses;S12_1666;Canada;NA
1;43;100;5759,42;Trucks and Buses;S12_1666;France;EMEA
13;25;100;3451;Trucks and Buses;S12_1666;USA;NA
6;38;100;5920,4;Trucks and Buses;S12_1666;USA;NA
3;41;100;6668,24;Trucks and Buses;S12_1666;Japan;Japan
6;28;100;4094,72;Trucks and Buses;S12_1666;Australia;APAC
13;25;100;2938,5;Trucks and Buses;S12_1666;USA;NA
8;41;100;6387,8;Trucks and Buses;S12_1666;Sweden;EMEA
3;39;100;6396;Trucks and Buses;S12_1666;France;EMEA
11;21;100;2669,1;Trucks and Buses;S12_1666;Canada;NA
9;27;100;4784,13;Trucks and Buses;S12_1666;USA;NA
6;33;99,21;3273,93;Trucks and Buses;S12_1666;USA;NA
3;29;100;3586,43;Trucks and Buses;S12_1666;Australia;APAC
8;49;100;5960,36;Trucks and Buses;S12_1666;USA;NA
8;49;100;8470,14;Trucks and Buses;S12_1666;Australia;APAC
1;20;100;2952;Trucks and Buses;S12_1666;USA;NA
9;78;63,2;4929,6;Trucks and Buses;S12_1666;Australia;APAC
6;80;100;12464;Trucks and Buses;S12_1666;Canada;NA
3;49;100;7969,36;Trucks and Buses;S12_1666;Spain;EMEA
1;21;100;3036,6;Motorcycles;S12_2823;USA;NA
4;50;100;8284;Motorcycles;S12_2823;France;EMEA
1;20;100;2711,2;Motorcycles;S12_2823;France;EMEA
5;49;100;8339,8;Motorcycles;S12_2823;USA;NA
13;38;100;6238,84;Motorcycles;S12_2823;USA;NA
13;35;100;4639,25;Motorcycles;S12_2823;Australia;APAC
8;40;100;6747,6;Motorcycles;S12_2823;France;EMEA
1;28;100;4512,48;Motorcycles;S12_2823;USA;NA
1;25;100;4029;Motorcycles;S12_2823;USA;NA
13;36;100;4771,8;Motorcycles;S12_2823;France;EMEA
6;43;100;6087,94;Motorcycles;S12_2823;France;EMEA
6;32;100;4193,28;Motorcycles;S12_2823;USA;NA
1;46;100;7552,28;Motorcycles;S12_2823;USA;NA
1;48;100;6434,4;Motorcycles;S12_2823;USA;NA
14;43;100;5181,5;Motorcycles;S12_2823;USA;NA
5;49;100;6863,92;Motorcycles;S12_2823;USA;NA
8;24;100;4157,04;Motorcycles;S12_2823;Finland;EMEA
4;26;100;4660,24;Motorcycles;S12_2823;Norway;EMEA
9;30;100;4111,8;Motorcycles;S12_2823;USA;NA
6;24;100;3542,64;Motorcycles;S12_2823;USA;NA
8;55;100;8118,55;Motorcycles;S12_2823;Austria;EMEA
1;44;100;7754,12;Motorcycles;S12_2823;USA;NA
13;98;78,92;7734,16;Motorcycles;S12_2823;France;EMEA
6;88;100;11902,88;Motorcycles;S12_2823;USA;NA
6;132;100;17297,28;Motorcycles;S12_2823;UK;EMEA
1;21;100;3447,78;Motorcycles;S12_2823;Spain;EMEA
1;34;100;5958,5;Classic Cars;S12_3148;Spain;EMEA
10;43;100;5911,64;Classic Cars;S12_3148;Singapore;Japan
3;46;100;7366,44;Classic Cars;S12_3148;USA;NA
13;33;100;4985,64;Classic Cars;S12_3148;USA;NA
12;42;100;5393,64;Classic Cars;S12_3148;Spain;EMEA
4;34;100;4880,02;Classic Cars;S12_3148;Singapore;Japan
3;47;100;8378,69;Classic Cars;S12_3148;Italy;EMEA
14;33;100;4038,21;Classic Cars;S12_3148;USA;NA
6;24;100;3807,12;Classic Cars;S12_3148;USA;NA
14;26;100;3142,36;Classic Cars;S12_3148;France;EMEA
3;30;100;4713,6;Classic Cars;S12_3148;Ireland;EMEA
1;43;100;7016,31;Classic Cars;S12_3148;Germany;EMEA
3;25;100;4381,25;Classic Cars;S12_3148;Finland;EMEA
3;27;100;4283,01;Classic Cars;S12_3148;USA;NA
6;27;100;4364,82;Classic Cars;S12_3148;USA;NA
9;24;100;4242,24;Classic Cars;S12_3148;Italy;EMEA
14;34;100;4982,7;Classic Cars;S12_3148;UK;EMEA
6;46;100;6393,54;Classic Cars;S12_3148;Denmark;EMEA
1;27;54,33;1466,91;Classic Cars;S12_3148;USA;NA
11;33;100;4059,33;Classic Cars;S12_3148;France;EMEA
4;47;100;4801,52;Classic Cars;S12_3148;Spain;EMEA
5;49;55,34;2711,66;Classic Cars;S12_3148;Spain;EMEA
4;40;100;5862;Classic Cars;S12_3148;Japan;Japan
11;37;100;4071,85;Classic Cars;S12_3148;USA;NA
3;94;100;16473,5;Classic Cars;S12_3148;USA;NA
4;45;100;6130,35;Classic Cars;S12_3380;Philippines;Japan
8;37;99,82;3693,34;Classic Cars;S12_3380;France;EMEA
5;48;100;6031,68;Classic Cars;S12_3380;USA;NA
5;31;100;3494,94;Classic Cars;S12_3380;USA;NA
6;46;100;5294,14;Classic Cars;S12_3380;USA;NA
4;47;100;5464,69;Classic Cars;S12_3380;Austria;EMEA
12;28;100;2860,76;Classic Cars;S12_3380;Norway;EMEA
1;40;100;5590;Classic Cars;S12_3380;Germany;EMEA
6;20;100;2254,8;Classic Cars;S12_3380;Spain;EMEA
16;39;100;4946,76;Classic Cars;S12_3380;Spain;EMEA
7;25;99,82;2495,5;Classic Cars;S12_3380;Switzerland;EMEA
1;29;100;3167,38;Classic Cars;S12_3380;Denmark;EMEA
11;22;100;2402,84;Classic Cars;S12_3380;UK;EMEA
12;22;100;2454,54;Classic Cars;S12_3380;Italy;EMEA
1;47;100;5464,69;Classic Cars;S12_3380;USA;NA
10;45;100;4756,5;Classic Cars;S12_3380;Switzerland;EMEA
3;29;100;3984,6;Classic Cars;S12_3380;Germany;EMEA
8;24;100;3100,32;Classic Cars;S12_3380;Germany;EMEA
1;35;100;4850,3;Classic Cars;S12_3380;Sweden;EMEA
13;46;83,63;3846,98;Classic Cars;S12_3380;USA;NA
1;44;95,93;4220,92;Classic Cars;S12_3380;Austria;EMEA
4;68;96,73;6577,64;Classic Cars;S12_3380;Finland;EMEA
1;70;100;7974,4;Classic Cars;S12_3380;USA;NA
6;50;72,38;3619;Classic Cars;S12_3380;Sweden;EMEA
11;10;100;1092,2;Classic Cars;S12_3380;Austria;EMEA
14;29;100;4566,05;Classic Cars;S12_3891;Denmark;EMEA
8;39;100;5938,14;Classic Cars;S12_3891;Singapore;Japan
1;42;100;8138,76;Classic Cars;S12_3891;USA;NA
11;46;100;9470,94;Classic Cars;S12_3891;USA;NA
10;49;100;7036,89;Classic Cars;S12_3891;Spain;EMEA
2;27;100;5559,03;Classic Cars;S12_3891;Singapore;Japan
1;50;100;7872,5;Classic Cars;S12_3891;Italy;EMEA
12;43;100;7886,2;Classic Cars;S12_3891;USA;NA
4;38;100;7232,16;Classic Cars;S12_3891;USA;NA
12;20;100;3114,4;Classic Cars;S12_3891;France;EMEA
1;27;100;5045,22;Classic Cars;S12_3891;Ireland;EMEA
1;49;100;6952,12;Classic Cars;S12_3891;Spain;EMEA
1;27;100;4157,73;Classic Cars;S12_3891;Finland;EMEA
1;39;100;7962,24;Classic Cars;S12_3891;USA;NA
4;24;100;3778,8;Classic Cars;S12_3891;USA;NA
7;45;100;8253;Classic Cars;S12_3891;Italy;EMEA
12;20;100;3633,4;Classic Cars;S12_3891;UK;EMEA
4;36;100;6913,8;Classic Cars;S12_3891;Denmark;EMEA
1;24;100;2583,6;Classic Cars;S12_3891;Norway;EMEA
1;49;63,38;3105,62;Classic Cars;S12_3891;France;EMEA
10;26;100;4408,56;Classic Cars;S12_3891;USA;NA
5;49;62,09;3042,41;Classic Cars;S12_3891;France;EMEA
1;34;100;5941,5;Classic Cars;S12_3891;Japan;Japan
12;34;95,35;3241,9;Classic Cars;S12_3891;USA;NA
3;33;100;6109,29;Classic Cars;S12_3891;USA;NA
1;44;100;6775,56;Classic Cars;S12_3891;USA;NA
7;39;89,38;3485,82;Classic Cars;S12_3990;Philippines;Japan
11;32;63,84;2042,88;Classic Cars;S12_3990;France;EMEA
8;24;75,01;1800,24;Classic Cars;S12_3990;USA;NA
8;21;63,84;1340,64;Classic Cars;S12_3990;USA;NA
3;24;73,42;1762,08;Classic Cars;S12_3990;USA;NA
3;36;63,84;2298,24;Classic Cars;S12_3990;Australia;APAC
15;20;81,4;1628;Classic Cars;S12_3990;Norway;EMEA
4;30;64,64;1939,2;Classic Cars;S12_3990;Germany;EMEA
9;44;82,99;3651,56;Classic Cars;S12_3990;Spain;EMEA
3;28;92,57;2591,96;Classic Cars;S12_3990;France;EMEA
10;37;77,41;2864,17;Classic Cars;S12_3990;Switzerland;EMEA
4;20;74,21;1484,2;Classic Cars;S12_3990;Denmark;EMEA
14;25;90,17;2254,25;Classic Cars;S12_3990;UK;EMEA
15;35;76,61;2681,35;Classic Cars;S12_3990;Italy;EMEA
4;38;83,79;3184,02;Classic Cars;S12_3990;USA;NA
13;41;69,43;2846,63;Classic Cars;S12_3990;Switzerland;EMEA
6;22;76,61;1685,42;Classic Cars;S12_3990;Germany;EMEA
11;49;81,4;3988,6;Classic Cars;S12_3990;Germany;EMEA
4;38;73,42;2789,96;Classic Cars;S12_3990;Sweden;EMEA
14;33;100;3607,56;Classic Cars;S12_3990;USA;NA
10;36;93,56;3368,16;Classic Cars;S12_3990;Austria;EMEA
5;68;81,62;5550,16;Classic Cars;S12_3990;Finland;EMEA
5;48;67,83;3255,84;Classic Cars;S12_3990;Finland;EMEA
7;72;70,26;5058,72;Classic Cars;S12_3990;Sweden;EMEA
14;34;90,17;3065,78;Classic Cars;S12_3990;Austria;EMEA
9;41;100;4615,78;Trucks and Buses;S12_4473;Spain;EMEA
5;46;100;5723,78;Trucks and Buses;S12_4473;USA;NA
11;24;100;2559,6;Trucks and Buses;S12_4473;USA;NA
5;21;100;2140,11;Trucks and Buses;S12_4473;Finland;EMEA
3;24;100;3327,6;Trucks and Buses;S12_4473;Finland;EMEA
12;48;100;6825,6;Trucks and Buses;S12_4473;Singapore;Japan
1;26;100;3543,28;Trucks and Buses;S12_4473;UK;EMEA
6;37;100;4516,22;Trucks and Buses;S12_4473;Spain;EMEA
6;49;100;6445,46;Trucks and Buses;S12_4473;USA;NA
7;34;99,54;3384,36;Trucks and Buses;S12_4473;USA;NA
2;48;100;4891,68;Trucks and Buses;S12_4473;USA;NA
1;36;100;4521,96;Trucks and Buses;S12_4473;USA;NA
5;46;100;5069,66;Trucks and Buses;S12_4473;Spain;EMEA
4;46;100;6541,2;Trucks and Buses;S12_4473;Singapore;APAC
5;31;97,17;3012,27;Trucks and Buses;S12_4473;USA;NA
1;41;100;5247,18;Trucks and Buses;S12_4473;USA;NA
8;21;100;2214,87;Trucks and Buses;S12_4473;USA;NA
5;38;100;4773,18;Trucks and Buses;S12_4473;USA;NA
14;45;100;6185,7;Trucks and Buses;S12_4473;Denmark;EMEA
7;26;58,38;1517,88;Trucks and Buses;S12_4473;USA;NA
3;38;100;6372,6;Trucks and Buses;S12_4473;France;EMEA
9;48;100;5232,96;Trucks and Buses;S12_4473;USA;NA
9;42;64,16;2694,72;Trucks and Buses;S12_4473;Spain;EMEA
4;49;35,71;1749,79;Trucks and Buses;S12_4473;USA;NA
13;32;66,58;2130,56;Trucks and Buses;S12_4473;USA;NA
5;108;100;11902,68;Trucks and Buses;S12_4473;Spain;EMEA
4;33;100;4692,6;Trucks and Buses;S12_4473;France;EMEA
3;36;100;3731,04;Classic Cars;S12_4675;Philippines;Japan
7;20;100;2142;Classic Cars;S12_4675;France;EMEA
4;29;97,89;2838,81;Classic Cars;S12_4675;USA;NA
4;33;97,89;3230,37;Classic Cars;S12_4675;USA;NA
5;50;100;5182;Classic Cars;S12_4675;USA;NA
3;41;100;4391,1;Classic Cars;S12_4675;Austria;EMEA
11;36;100;4477,32;Classic Cars;S12_4675;Norway;EMEA
16;27;100;3544,56;Classic Cars;S12_4675;USA;NA
5;47;100;5195,85;Classic Cars;S12_4675;Spain;EMEA
15;33;100;4180,44;Classic Cars;S12_4675;Spain;EMEA
6;21;100;2684,43;Classic Cars;S12_4675;Switzerland;EMEA
5;21;93,28;1958,88;Classic Cars;S12_4675;Finland;EMEA
10;41;100;4910,57;Classic Cars;S12_4675;UK;EMEA
11;40;100;4468,4;Classic Cars;S12_4675;Italy;EMEA
1;28;100;3127,88;Classic Cars;S12_4675;Singapore;Japan
9;23;100;2675,13;Classic Cars;S12_4675;Switzerland;EMEA
2;23;100;2807,61;Classic Cars;S12_4675;Germany;EMEA
7;25;100;2504,75;Classic Cars;S12_4675;Germany;EMEA
15;24;100;2984,88;Classic Cars;S12_4675;USA;NA
15;39;64,74;2524,86;Classic Cars;S12_4675;USA;NA
7;55;75,2;4136;Classic Cars;S12_4675;Austria;EMEA
6;92;88,45;8137,4;Classic Cars;S12_4675;Finland;EMEA
1;100;100;10364;Classic Cars;S12_4675;Finland;EMEA
8;94;100;10487,58;Classic Cars;S12_4675;Sweden;EMEA
5;97;93,28;9048,16;Classic Cars;S12_4675;France;EMEA
10;32;100;3832,64;Classic Cars;S12_4675;Austria;EMEA
10;35;100;3920;Trucks and Buses;S18_1097;Norway;EMEA
4;49;100;4916,66;Trucks and Buses;S18_1097;USA;NA
10;38;100;3857;Trucks and Buses;S18_1097;Spain;EMEA
10;32;100;4181,44;Trucks and Buses;S18_1097;USA;NA
7;34;100;4641;Trucks and Buses;S18_1097;Singapore;Japan
8;36;99,17;3570,12;Trucks and Buses;S18_1097;Austria;EMEA
3;48;93,34;4480,32;Trucks and Buses;S18_1097;Australia;APAC
7;21;96,84;2033,64;Trucks and Buses;S18_1097;USA;NA
10;21;93,34;1960,14;Trucks and Buses;S18_1097;France;EMEA
5;34;100;3966,78;Trucks and Buses;S18_1097;Canada;NA
2;46;100;5152;Trucks and Buses;S18_1097;USA;NA
1;32;100;3360;Trucks and Buses;S18_1097;USA;NA
8;29;100;3451;Trucks and Buses;S18_1097;USA;NA
5;41;100;5453;Trucks and Buses;S18_1097;Japan;Japan
